2026-08-05 00:25:33,103 | INFO     | __main__                     | Similarity scores: [('I Want To Break Free (Single Remix)', 0.8303368775034323), ('Another One Bites The Dust', 0.8113152103863006), ('Dream On', 0.7645981829624984)]
2026-08-05 00:25:33,104 | INFO     | __main__                     | Building features - target_audio: YES, genres: []
2026-08-05 00:25:33,106 | INFO     | __main__                     | [GENRE] Deezer genres empty for Queen - Bohemian Rhapsody
2026-08-05 00:25:33,400 | INFO     | lastfm_client                | Last.fm artist tags for Queen: ['classic rock', 'rock', 'hard rock', 'glam rock', '80s']
2026-08-05 00:25:33,401 | INFO     | __main__                     | [GENRE] Last.fm genre for Queen: classic rock
2026-08-05 00:26:10,247 | INFO     | __main__                     | [STEP 1] User 240082844: Received text: 📋 My Playlist...
2026-08-05 00:26:10,256 | INFO     | user_prefs                   | [PLAYLIST_DB] get_user_playlist user=240082844 -> 0 rows
2026-08-05 00:26:15,392 | INFO     | __main__                     | [STEP 1] User 240082844: Received text: ➕ Add to Playlist...
2026-08-05 00:26:15,392 | INFO     | __main__                     | [STEP 2] User 240082844: Entering playlist mode
2026-08-05 00:26:43,182 | INFO     | __main__                     | [STEP 1] User 240082844: Received text: ✅ Done (5 songs)...
2026-08-05 00:26:43,182 | INFO     | __main__                     | [STEP 3] User 240082844: Done button pressed, starting processing
2026-08-05 00:26:43,182 | INFO     | __main__                     | [STEP 4] User 240082844: Starting processing
2026-08-05 00:26:43,183 | INFO     | __main__                     | [STEP 4] User 240082844: Got 5 pending songs
2026-08-05 00:26:43,183 | INFO     | __main__                     | [STEP 4] User 240082844: Parsed 5 songs from input
2026-08-05 00:26:43,184 | INFO     | __main__                     | [STEP 5] User 240082844: Cleaned 5 songs
2026-08-05 00:26:43,548 | INFO     | __main__                     | [STEP 6] User 240082844: Processing 1/5: '02 The Heavy   What Makes A Good Man?' -> 'The Heavy What Makes A Good Man?'
2026-08-05 00:26:43,800 | INFO     | __main__                     | [STEP 6] User 240082844: Searching Deezer for: The Heavy What Makes A Good Man?
2026-08-05 00:26:43,800 | INFO     | deezer_helper                | [DEEZER] search query='The Heavy What Makes A Good Man?' limit=3
2026-08-05 00:26:44,476 | INFO     | deezer_helper                | [DEEZER] search query='The Heavy What Makes A Good Man?' -> 3 results
2026-08-05 00:26:44,476 | INFO     | __main__                     | [STEP 6] User 240082844: Found: What Makes A Good Man? - The Heavy
2026-08-05 00:26:44,476 | INFO     | __main__                     | [STEP 6] User 240082844: Is Persian: False
2026-08-05 00:26:44,477 | INFO     | __main__                     | [STEP 6] User 240082844: Analyzing features (librosa)...
2026-08-05 00:26:44,477 | INFO     | feature_cache                | [CACHE] Looking up features for track ID: 18435591
2026-08-05 00:26:44,478 | INFO     | feature_cache                | [CACHE] Cache MISS for track ID: 18435591
2026-08-05 00:26:44,479 | INFO     | __main__                     | Analyzing track: The Heavy - What Makes A Good Man? (fast=False)
2026-08-05 00:26:44,480 | INFO     | audio_analyzer               | Downloading preview: https://cdnt-preview.dzcdn.net/api/1/1/c/1/9/0/c199bb54befbbff3b185ff4b47c78273.mp3?hdnea=exp=1785877906~acl=/api/1/1/c/1/9/0/c199bb54befbbff3b185ff4b47c78273.mp3*~data=user_id=0,application_id=42~hmac=6b5d2bbc96cb3602e4fb8f8bceb72539d588939473e03c63af86a814f052c893
2026-08-05 00:26:45,877 | INFO     | musicbrainz_client           | Found MusicBrainz ID: e614f23f-2086-4c58-af33-b4d4c1e45413 for The Heavy - What Makes A Good Man?
2026-08-05 00:26:46,577 | INFO     | audio_analyzer               | Downloaded 479827 bytes
2026-08-05 00:26:46,578 | INFO     | audio_analyzer               | Running librosa analysis...
2026-08-05 00:26:46,589 | INFO     | audio_analyzer               | [LIBROSA] Starting feature extraction...
2026-08-05 00:26:46,591 | INFO     | audio_analyzer               | [LIBROSA] Temp file created: C:\Users\Saeid\AppData\Local\Temp\tmpjbfpu408.mp3 (479827 bytes)
